[2023-12-01 18:06:24,402][root][INFO] - FL_Task - {"dataset": "Cifar100", "start_execution_time": "2023-12-01 18:06:24"}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 56, "data_size": 275}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 57, "data_size": 270}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 58, "data_size": 302}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 59, "data_size": 315}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 60, "data_size": 307}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 61, "data_size": 286}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 62, "data_size": 310}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 63, "data_size": 304}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 64, "data_size": 302}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 65, "data_size": 293}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 66, "data_size": 294}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 67, "data_size": 300}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 68, "data_size": 299}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 69, "data_size": 290}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 70, "data_size": 288}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 71, "data_size": 291}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 72, "data_size": 321}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 73, "data_size": 300}
[2023-12-01 18:06:30,317][root][INFO] - data_check - {"label_num": 74, "data_size": 298}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 75, "data_size": 298}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 76, "data_size": 291}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 77, "data_size": 305}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 78, "data_size": 298}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 79, "data_size": 310}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 80, "data_size": 283}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 81, "data_size": 311}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 82, "data_size": 306}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 83, "data_size": 296}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 84, "data_size": 309}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 85, "data_size": 302}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 86, "data_size": 302}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 87, "data_size": 306}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 88, "data_size": 314}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 89, "data_size": 311}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 90, "data_size": 310}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 91, "data_size": 305}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 92, "data_size": 278}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 93, "data_size": 289}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 94, "data_size": 297}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 95, "data_size": 297}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 96, "data_size": 283}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 97, "data_size": 321}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 98, "data_size": 300}
[2023-12-01 18:06:30,318][root][INFO] - data_check - {"label_num": 99, "data_size": 288}
[2023-12-01 18:06:30,319][__main__][INFO] - data loaded
